Which video did you just watch?,Age,Gender,"As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Cars]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Buses]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Trains]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Aircraft]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Small boats]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Ships]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Swings in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","As a CHILD (before age 12), how often you Felt Sick or Nauseated: [Amusement park rides]",Unnamed: 13,"Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Cars]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Buses]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Trains]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Aircraft]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Small boats]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Ships]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Swings in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Roundabouts in playgrounds]","Over the LAST 10 YEARS, how often you Felt Sick or Nauseated: [Amusement park rides]",Select how much each symptom was affected by watching the video: [General Discomfort],Select how much each symptom was affected by watching the video: [Fatigue],Select how much each symptom was affected by watching the video: [Headache],Select how much each symptom was affected by watching the video: [Eye Strain],Select how much each symptom was affected by watching the video: [Difficulty Focusing],Select how much each symptom was affected by watching the video: [Increased Salivation],Select how much each symptom was affected by watching the video: [Sweating],Select how much each symptom was affected by watching the video: [Nausea],Select how much each symptom was affected by watching the video: [Difficulty Concentrating],Select how much each symptom was affected by watching the video: [Fullness of Head],Select how much each symptom was affected by watching the video: [Blurred Vision],Select how much each symptom was affected by watching the video: [Dizzy (eyes open)],Select how much each symptom was affected by watching the video: [Dizzy (eyes closed)],Select how much each symptom was affected by watching the video: [Vertigo],Select how much each symptom was affected by watching the video: [Stomach Awareness],Select how much each symptom was affected by watching the video: [Burping],Participant ID
dotsouter,26,Male,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (not applicable),Rarely felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,Never felt sick,Rarely felt sick,Slight,None,None,Slight,None,None,None,None,None,None,None,Slight,None,Slight,None,None,11
oceancoaster,30,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,N/A (never experienced),N/A (never experienced),Frequently felt sick,Slight,Slight,None,None,None,None,None,Slight,None,None,Slight,Slight,Slight,None,Slight,Slight,12
dotsinner,32,Male,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,13
spacevisit,23,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14
sculptures,27,Male,Frequently felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Slight,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15
cartooncoaster,26,Male,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),Sometimes felt sick,Slight,None,None,None,None,None,None,Slight,Slight,Slight,Slight,None,None,None,None,None,16
minecraft,39,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,Slight,Slight,None,None,None,None,None,Slight,None,None,None,None,None,17
glowingdance,24,Male,Sometimes felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,N/A (not applicable),N/A (not applicable),Sometimes felt sick,Never felt sick,Rarely felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,18
ship,22,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19
helicoptercrash,26,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Moderate,Slight,Moderate,Slight,Slight,None,Moderate,None,None,None,None,None,20
sculptures,24,Male,Sometimes felt sick,Sometimes felt sick,Never felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Slight,None,None,Moderate,Severe,None,None,None,None,None,Severe,None,None,None,Slight,None,21
cartooncoaster,29,Male,Frequently felt sick,Rarely felt sick,N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),Never felt sick,Frequently felt sick,N/A (not applicable),,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Sometimes felt sick,Moderate,Slight,None,Slight,Slight,None,Slight,Moderate,None,Slight,None,Slight,Slight,None,Slight,None,22
dotsall,21,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Never felt sick,Never felt sick,,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,Slight,Moderate,None,None,None,Moderate,None,Moderate,None,None,None,None,None,23
glowingdance,21,Male,Rarely felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,None,None,None,None,Slight,None,None,None,None,None,Slight,None,None,None,None,None,24
minecraft,24,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),Never felt sick,None,None,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,25
dunerovers,19,Female,Rarely felt sick,Never felt sick,N/A (not applicable),Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,N/A (never experienced),Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26
woodencoaster,24,Male,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,N/A (not applicable),Never felt sick,N/A (not applicable),Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,None,None,None,None,Slight,None,None,None,None,None,Slight,None,None,None,None,None,27
snowplanet,23,Female,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Never felt sick,Rarely felt sick,Slight,None,None,None,None,None,None,Slight,None,None,None,Slight,Slight,None,None,None,28
roadcar,22,Male,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,N/A (not applicable),Rarely felt sick,Never felt sick,Rarely felt sick,N/A (not applicable),,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),Slight,None,None,None,None,None,None,None,Slight,None,None,None,None,None,None,None,29
gardens,23,Female,Frequently felt sick,Frequently felt sick,Sometimes felt sick,Frequently felt sick,Frequently felt sick,Frequently felt sick,N/A (not applicable),Rarely felt sick,Never felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Frequently felt sick,Frequently felt sick,Frequently felt sick,N/A (never experienced),Never felt sick,N/A (never experienced),Slight,Slight,Slight,Slight,None,None,Slight,Slight,None,None,Slight,Slight,None,Slight,None,Slight,30
spacevisit,29,Male,N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),N/A (not applicable),,N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),Slight,None,None,Slight,Slight,None,None,Slight,None,None,None,None,None,None,None,None,31
dotsinner,30,Male,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),Rarely felt sick,Slight,None,None,None,None,None,None,Slight,None,Slight,None,Slight,None,None,Slight,None,32
snowplanet,22,Female,Sometimes felt sick,N/A (not applicable),Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Rarely felt sick,N/A (never experienced),Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,Moderate,Severe,None,None,None,Slight,None,Slight,None,None,Slight,None,None,33
skyhouse,23,Male,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Moderate,None,Slight,None,None,None,None,Slight,Slight,Slight,None,Moderate,None,None,None,None,34
flyingcar,23,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,Slight,None,None,None,None,35
flyingcar,29,Male,Frequently felt sick,Frequently felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,,Frequently felt sick,Frequently felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Never felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),Slight,None,Slight,None,Slight,None,None,None,None,Moderate,None,None,None,None,None,None,36
sharks,24,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8
ship,24,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14
sculptures,25,Female,Sometimes felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Never felt sick,Sometimes felt sick,Never felt sick,,Frequently felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Frequently felt sick,Never felt sick,N/A (never experienced),Never felt sick,None,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,37
glowingdance,30,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Sometimes felt sick,N/A (never experienced),N/A (never experienced),Frequently felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12
dotsouter,32,Male,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,Slight,Slight,None,None,None,Slight,None,None,None,None,None,Slight,None,None,13
cartooncoaster,26,Male,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (not applicable),Rarely felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (never experienced),Never felt sick,Never felt sick,Rarely felt sick,Slight,None,None,Slight,None,None,None,None,None,Slight,None,None,None,None,None,None,11
dotsinner,25,Male,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Sometimes felt sick,Sometimes felt sick,Sometimes felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),Sometimes felt sick,None,None,None,None,None,None,None,None,Slight,None,None,Slight,None,None,None,None,38
gardens,39,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17
minecraft,28,Male,Frequently felt sick,Frequently felt sick,Rarely felt sick,N/A (not applicable),Sometimes felt sick,N/A (not applicable),Rarely felt sick,Sometimes felt sick,Frequently felt sick,,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Slight,Slight,Slight,None,None,None,None,Slight,None,Slight,Slight,None,None,None,None,None,39
dunerovers,23,Male,Frequently felt sick,Sometimes felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,,Sometimes felt sick,Never felt sick,Rarely felt sick,N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),N/A (never experienced),Slight,None,Slight,Slight,None,None,None,Slight,None,None,Slight,None,None,None,None,None,40
oceancoaster,19,Female,Rarely felt sick,Never felt sick,N/A (not applicable),Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,N/A (never experienced),Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,Slight,None,None,26
dotsall,22,Male,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Sometimes felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,Slight,None,Slight,Slight,Slight,None,None,None,None,Slight,None,None,None,None,None,None,41
roadcar,21,Male,Never felt sick,Sometimes felt sick,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Rarely felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,Slight,None,None,None,None,None,None,None,None,None,None,None,None,None,42
snowplanet,20,Female,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,Rarely felt sick,Slight,Slight,Moderate,Slight,Slight,None,None,Slight,None,Slight,Slight,None,None,Slight,None,None,4
skyhouse,21,Male,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,Slight,None,None,Slight,None,None,None,None,None,Moderate,None,None,Slight,None,None,43
spacevisit,21,Male,Sometimes felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,44
helicoptercrash,21,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,N/A (not applicable),N/A (not applicable),Never felt sick,Never felt sick,Never felt sick,,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,Frequently felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Slight,None,None,None,Moderate,None,None,None,None,None,Slight,None,None,None,None,None,23
oceancoaster,30,Female,Frequently felt sick,Frequently felt sick,Rarely felt sick,Rarely felt sick,Frequently felt sick,Frequently felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Rarely felt sick,None,None,None,Slight,Slight,None,None,None,None,None,Slight,Slight,Slight,None,None,None,45
sharks,23,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,35
skyhouse,20,Male,Frequently felt sick,Sometimes felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Rarely felt sick,,Sometimes felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,None,None,None,None,Moderate,None,None,None,None,None,Moderate,None,None,None,Slight,None,46
sculptures,20,Female,Sometimes felt sick,Frequently felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Sometimes felt sick,,Sometimes felt sick,Sometimes felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Rarely felt sick,Never felt sick,Never felt sick,Never felt sick,Moderate,None,Slight,Moderate,Severe,Slight,Moderate,Slight,Severe,None,Slight,Moderate,None,None,None,None,47
flyingcar,26,Male,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Rarely felt sick,Never felt sick,Sometimes felt sick,,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Never felt sick,Sometimes felt sick,None,None,None,Slight,None,None,None,None,None,None,None,None,None,None,None,None,48
